State,StateName,Lat,Long, SumofTotalCost ,CountofTotalDischarges ,SumofAverageCoveredCharges  ,Variance,TrumpcareTweet1,NontrumpcareTweet2
AK,Alaska,61.370716,-86.79113,"$90,149,869.65 ",231,"$9,320,559.71 ",10,"The GOP and the Dems are 2 parts of the same show- both take money from big ,  St, big pharmaceuticals and weapons manufacturers. They bicker over wedge issues but both have used trickle down economics since Reagan. btw I am not running against a Republican.",Soon will come the “deficit reduction” HIT after handing the 1% Billions It’s time to pay for TAX CUTS with the poor & Disabled Programs bc “WE R worthless lazy people” I’m SICK of IT They R Nipping NOW BUT they R coming for GRANDMA
AL,Alabama,32.806671,-152.404419,"$1,098,626,721.86 ",3635,"$113,835,339.64 ",10,The Democrats are doing their fair share to keep Americans from getting Healthcare. Their best answer so far is to keep America tied to FOR PROFIT HIGH COST INSURANCE. Insurance has nothing to do with healthcare!,Dems R Not in power or have any type of majority ... they can’t call a vote or NOTHING SIR BUT they did just get some great concessions allocated on the last Budget ??It wasn’t easy — Only Way To Help With Healthcare is Flip Houses??VOTE ??VOTE VOTE ??VOTE ??VOTE
AR,Arkansas,34.969704,-111.431221,"$682,473,694.66 ",2067,"$54,102,745.75 ",8,Just look at what the democratic supermajority in California is doing to prevent a medicare-for-all type program from being enacted.,"Your economy is growing at a slower pace than Obama's did.  prices are up $1, our healthcare costs are up 30% and the Stock Market is up only half of as much as under Obama at this point in time."
AZ,Arizona,33.729759,-92.373123,"$1,023,640,012.85 ",2851,"$117,461,379.67 ",11,your healthcare cost are up because of Obamacare... Blame him..,Have you done ANYTHING yet to improve healthcare or the cost of medications?
CA,California,36.116203,-119.681564,"$5,862,212,436.91 ",13064,"$881,932,566.42 ",15,"Illegal alliens cost tax payers more. However, I think forget the walk,just stop illegals from getting food stamps, free healthcare,  assistance .and they won't come","The cost of healthcare continues to skyrocket.  refuses to revoke @MedicareGov 's cruel & unfair late signup fee. I'm as good as dead w/o help. Trump knows this. I hope that criminal bastard gets sent to Federal prison asap, along with his crime family"
CO,Colorado,39.059811,-105.311104,"$590,703,840.27 ",1890,"$77,669,807.25 ",13,"People like you would go insane if the U.S. health premiums expensive actually did the things that would ""improve healthcare"" and reduce the cost of medication. FYI, the President just signs. If you want budget action taken, go whine to Congress. It's confusing, I know.","Trump sucks. His tax bill benefitting the very rich will increase our deficit by 1.4 trillion over 10 yrs. His golfing trips have cost taxpayers 67 million. He has no foreign affairs acumen. , food and healthcare prices are ridiculous. He is racist, divisive, and a dotard."
CT,Connecticut,41.597782,-72.755371,"$1,061,988,486.42 ",2011,"$62,981,322.74 ",6,"Think some areas your doing a great job , unemployment down and agree we need smarter immigration system , just knock off name calling and care more bout working far as lowering healthcare cost n prescription drugs and might get reelected",Things that cost more: Healthcare  Soon: Walmart's Chinese-made products
DC,District of Columbia,38.897438,-77.026817,"$250,592,560.70 ",462,"$18,533,898.61 ",7,"Education & healthcare are important, but we do not or will not have a nation if our border is not secure. It is our southern border that is the issue. There are many ways we can recoup some of the cost from . I wish we didn't need a  & people would come her legally.",Corporations recieved billions in tax breaks and r spending the cuts on reinvesting in themselves. They still hire workers part time with no benefits & min wage. U ran up the cost of healthcare & took it from millions. You've only enabled slave labor working till death.
DE,Delaware,39.318523,-75.507141,"$276,029,544.25 ",394,"$10,666,249.66 ",4, . . .@SenateMajLdr .@SpeakerRyan A vote for a Democrat in #2018MidTerm is a vote for Pelosi in turn a vote again for Obama’s policy’s and tax heights with healthcare doubled in cost.,"Hi  , Can you explain why these are increasing in cost: healthcare premiums, copays, , and food? Where's my tax savings? @MSNBC @PolitiSearch @indtx36 @TXDemWomen @MSNBC @IndivisibleTX14 @TX21HillCountry @IndivisibleMI1 @TX10Indivisible @TX10Bastropco @nytimes"
FL,Florida,27.766279,-81.686783,"$4,499,881,666.21 ",11155,"$513,311,085.66 ",11,did you know that if we built the  and secured our border it would cost about 30 billion one time expense approx. 2-5 billion a year for maintenance and upgrades the annual budget to provide for illegal immigrants is approx. 117 billion a year College money?? Healthcare??,"This is more proof that you probably are brainwashed by Deep State Propaganda that spreads Mccarthyism about  24/7. While education & healthcare cost skyrocket, the prison population explodes, 2 s increased to 7, you yap about . Get a darn grip, you DINO!"
GA,Georgia,33.040619,-83.643074,"$1,709,438,163.82 ",4968,"$154,489,562.36 ",9,So how about more support for  with the rest of his campaign promises!!!!! All if you clowns were against  and now that his plans are working you want to take credit! Now GIVE THE AMERICAN PEOPLE A HEALTHCARE PLAN THAT WORKS and doesn’t cost an arm & a leg!,"I had this thought but doctors are always complaining about the cost of malpractice insurance, and that would factor into healthcare costs. But the high cost of health insurance is way more complicated than that."
HI,Hawaii,21.094318,-157.498337,"$149,025,177.76 ",442,"$14,221,238.65 ",10,Have Democrats ever done anything to improve Healthcare/Medical cost? We certainly know Obamacare didn’t work. It’s both Republicans and Democrats in the pockets of Pharmaceuticals.,Thanks for doing absolutely nothing to fix the cost of healthcare on the small business community
IA,Iowa,42.011539,-93.210526,"$589,341,075.51 ",1734,"$41,908,598.70 ",7,Job creation that you speak of from Obama was a part-time job because of his horrible healthcare cost people their full-time jobs because companies couldn't afford the health plans they were required to get so they turn full-time jobs into part-time jobs I was a victim of that.,"Because wealthy corporations work in their own self interests - it’s never about the employee, or historically we would never have to fight for healthcare, retirement $, cost of living raises, OSHA, overtime pay, disability etc. Who ever thought it was about 98% on the bottom."
ID,Idaho,44.240459,-114.478828,"$184,899,873.61 ",551,"$14,086,616.42 ",8,"The point is, Obamacare PUT people in the poorhouse. People who were quite happy with what they had for healthcare, happy with their doctors, happy with the cost. All of that taken away",He promised repeal and replace. He promises pre-existing conditions would be protected. He promised healthcare would cost less and cover more. he promised not to touch Medicare. Every one of them a bald faced lie.
IL,Illinois,40.349457,-88.986137,"$3,327,673,379.09 ",7909,"$285,213,170.69 ",9,Kind of like when Obama said he was a Christian or the Obamacare meant we could keep our Dr and our Healthcare cost would go down #fakefakefakefakefakefake I said fake twice as much as you so I win,Only 7% of all healthcare cost in USA is insurance. https://goo.gl/images/9ckhfz  And then with M4A you gotta create a healthcare administration office as per the M4A bill Bernie introduced and I actually read. You gonna run that office and it's required district offices on 2.5%???
IN,Indiana,39.849426,-86.258278,"$1,573,886,307.71 ",4260,"$119,896,475.44 ",8,"I would like to express my concern on ALL the propaganda you and all elected and those who want to be elected: the  is going cost me and why? Healthcare is not a problem for you but for me? Opioids are caused by illegal immigrants or the drug companies, which is it?",Just like he was going to end Obamacare and replace it with healthcare for all at much lower cost.
KS,Kansas,38.5266,-96.726486,"$540,726,358.09 ",1638,"$51,728,455.50 ",10, If we where to take all things in healthcare that don't work or yield results in 5 years away. 1 year be better we could reduce the cost of healthcare. Insurance companies wouldn't need to spend as much. Be more money for solutions.,Healthcare cost skyrocked so you can no longer afford it... he gave billions to Iran... allowed full auto  to be given to drug cartells... sold out America to ... and so much more.
KY,Kentucky,37.66814,-84.670067,"$1,254,930,783.81 ",3229,"$79,187,373.35 ",6,"Why would u assume I watch Fox News. How weird you’d say that. Good for u leaving doors unlocked, but that’s not wise anywhere.Unscreened citizens of other countries bring not just crime, but disease as they are not immunized and cost taxpayer billions in education, healthcare",The @GOP @GOPChairwoman need to move tod solving the high cost of health care  #healthcare
LA,Louisiana,31.169546,-91.867805,"$917,263,816.49 ",3027,"$100,149,423.44 ",11,The ObamaCare bill was another disaster. This was one step from Socialised HealthCare. Just what Globalism Requires for a Socialistic health premiums expensive. Cost America a fortune., Great healthcare for everyone! Obamacare Will Cost More Because of GOP’s Individual Mandate Repeal! THANKS TRUMP FOR NOTHING!
MA,Massachusetts,42.230171,-71.530106,"$1,920,569,076.50 ",3842,"$78,891,653.79 ",4,"I had a good healthcare policy through the employer before ACA with affordable deductibles and cost. Seems when we get something ""for the people,"" things get worse.","Trump accomplishments: 1. Healthcare for all - lie. 2. Drain the swamp: lol, he filled it. 3.  will pay for the : lie. 4. “I’ll be too busy to play golf: cost American tax payer to date: over $100,000,000."
MD,Maryland,39.063946,-76.802101,"$2,043,982,385.22 ",3330,"$44,548,086.62 ",2,I would hardly call Obamacare a successful accomplishment. It has turn the healthcare industry upside down and has cost taxpayers more money trying to fund a black hole. It will take a 20 yr cycle to get back to affordable quality care.,"I'm not gonna move targets with you. It slowed the increase in healthcare costs. Just a fact.. It insured millions of Americans, lowered the deficit, slowed the insurance cost curve, took away pre-existing conditions, and reduced hospital costs... so I'm pretty damn happy with it"
ME,Maine,44.693947,-69.381927,"$303,458,283.98 ",888,"$18,110,722.32 ",6,"Unlike 44,  isn't taking bribes from the insurance company lobbyists. Association Healthcare plans will do the same thing as public option effectively. By having millions of people in a group, they can ensure the lowest cost and negotiation power for people.",How Can healthcare be a right when you have to take money from others to give it to others? It doesn’t cost tax payers to have free speech. A right isn’t a right if it infringes on the rights of others
